Time,Lane,x,y,frames
13/01/19 14:17:19,1,223,156,43358
13/01/19 14:17:19,3,224,165,43346
13/01/19 14:17:19,2,311,173,43413
13/01/19 14:17:26,3,227,165,6496
13/01/19 14:17:26,1,222,161,6900
13/01/19 14:17:26,2,311,178,6957
13/01/19 14:17:30,1,221,158,9957
13/01/19 14:17:30,3,226,165,9551
13/01/19 14:17:30,2,310,176,9925
13/01/19 14:17:34,3,226,165,7468
13/01/19 14:17:34,1,222,158,8842
13/01/19 14:17:34,2,311,176,8250
13/01/19 14:17:36,3,226,168,6025
13/01/19 14:17:37,2,310,178,6811
13/01/19 14:17:37,1,223,161,7467
13/01/19 14:17:39,1,222,158,5591
13/01/19 14:17:39,3,226,168,5216
13/01/19 14:17:39,2,311,176,5586
13/01/19 14:17:41,1,223,161,4581
13/01/19 14:17:41,3,227,168,4553
13/01/19 14:17:41,2,311,178,4556
13/01/19 14:17:42,1,222,161,3811
13/01/19 14:17:42,3,227,170,3826
13/01/19 14:17:42,2,311,181,3817
13/01/19 14:17:44,3,227,168,3753
13/01/19 14:17:44,1,223,163,4131
13/01/19 14:17:44,2,311,181,4150
13/01/19 14:17:46,3,228,172,2977
13/01/19 14:17:46,2,314,183,3767
13/01/19 14:17:46,1,224,168,4352
13/01/19 14:17:47,3,229,170,3237
13/01/19 14:17:47,1,223,165,3605
13/01/19 14:17:47,2,313,181,3641
13/01/19 14:17:48,2,322,190,1194
13/01/19 14:17:48,3,239,182,1197
13/01/19 14:17:48,1,227,168,1883
13/01/19 14:17:49,3,227,175,1738
13/01/19 14:17:49,2,311,186,1327
13/01/19 14:17:49,1,221,168,2345
13/01/19 14:17:50,3,228,170,2943
13/01/19 14:17:50,2,314,181,3669
13/01/19 14:17:50,1,223,165,4292
13/01/19 14:17:52,3,228,168,2655
13/01/19 14:17:52,2,313,181,3020
13/01/19 14:17:52,1,223,165,4934
13/01/19 14:17:54,3,228,168,2819
13/01/19 14:17:54,2,313,181,3904
13/01/19 14:17:54,1,223,165,4515
13/01/19 14:17:55,3,229,170,2882
13/01/19 14:17:55,2,313,183,3315
13/01/19 14:17:55,1,223,165,3954
13/01/19 14:17:57,1,224,165,3903
13/01/19 14:17:57,3,227,168,2938
13/01/19 14:17:57,2,313,181,3350
13/01/19 14:17:58,3,229,170,2912
13/01/19 14:17:58,1,223,168,3652
13/01/19 14:17:58,2,313,183,3655
13/01/19 14:18:00,1,223,165,3307
13/01/19 14:18:00,3,228,170,2751
13/01/19 14:18:00,2,312,181,2784
13/01/19 14:18:02,1,223,165,3106
13/01/19 14:18:02,3,227,170,2715
13/01/19 14:18:02,2,312,183,3105
13/01/19 14:18:03,1,223,163,3636
13/01/19 14:18:03,3,227,170,3226
13/01/19 14:18:03,2,312,181,3608
13/01/19 14:18:05,1,223,163,3314
13/01/19 14:18:05,3,227,168,2943
13/01/19 14:18:05,2,312,178,3324
13/01/19 14:18:07,3,227,168,2962
