Time,Lane,x,y,frames
13/01/19 13:24:43,3,225,164,10481
13/01/19 13:24:43,1,224,156,11316
13/01/19 13:24:43,2,379,177,11305
13/01/19 13:24:47,1,222,160,11084
13/01/19 13:24:47,2,379,179,11068
13/01/19 13:24:47,3,225,167,10637
13/01/19 13:24:50,1,223,158,8925
13/01/19 13:24:50,2,379,177,8236
13/01/19 13:24:50,3,225,167,8236
13/01/19 13:25:01,3,226,164,6781
13/01/19 13:25:01,1,223,158,9359
13/01/19 13:25:01,2,379,177,8055
13/01/19 13:25:04,3,227,164,6387
13/01/19 13:25:04,2,379,179,6858
13/01/19 13:25:04,1,222,163,8403
13/01/19 13:28:34,3,226,164,1224351
13/01/19 13:28:34,1,225,156,1224746
13/01/19 13:28:34,2,378,174,1224745
13/01/19 13:28:37,3,225,164,6745
13/01/19 13:28:37,1,222,158,7496
13/01/19 13:28:37,2,378,177,7497
13/01/19 13:28:43,2,261,170,35915
13/01/19 13:28:43,1,297,165,37776
13/01/19 13:28:46,1,332,167,12098
13/01/19 13:28:46,2,260,170,11536
13/01/19 13:28:48,2,261,170,10040
13/01/19 13:28:48,1,331,170,10670
13/01/19 13:28:50,1,156,156,3386
13/01/19 13:28:54,1,157,156,17075
13/01/19 13:28:58,2,260,170,60810
13/01/19 13:28:58,3,249,169,61331
13/01/19 13:29:00,2,259,172,8793
13/01/19 13:29:00,3,302,174,8262
13/01/19 13:29:02,3,304,174,9339
13/01/19 13:29:02,2,260,172,9333
13/01/19 13:29:07,3,235,167,24435
13/01/19 13:29:07,1,214,158,19521
13/01/19 13:29:07,2,341,174,25444
13/01/19 13:29:10,2,379,179,10058
13/01/19 13:29:10,3,224,167,10063
13/01/19 13:29:10,1,222,160,10705
13/01/19 13:29:13,3,225,164,9818
13/01/19 13:29:13,2,378,179,10220
13/01/19 13:29:13,1,223,158,10843
13/01/19 13:29:16,2,378,177,7628
13/01/19 13:29:16,3,225,164,7303
13/01/19 13:29:16,1,222,158,8170
